"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_050206_create_admin_genre_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_09_050243_create_admin_movie_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_13_091419_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_14_050805_create_favourite_movies_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\migrations\2025_01_14_073426_create_movie_user.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\ActorSeeder.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\AdminSeeder.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 3, 5, 29
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 4, 4, 31
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\DirectorSeeder.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\GenreSeeder.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 3, 5, 70
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\MovieSeeder.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\ProductionSeeder.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\RoleSeeder.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 3, 5, 26
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\database\seeders\TypeSeeder.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 3, 5, 25
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\package-lock.json", "JSON", 0, 0, 0, 3394, 0, 0, 0, 0, 1, 3395
